CLASS,Normalized Fixed Acidity ,Normalized volatile Acidity,Normalized citric acid,Normalized residual sugar,Normalized chlorides,Normalized free sulfur dioxide,Normalized total sulfur dioxide,Normalized density,Normalized pH,Normalized sulphates,Normalized alcohol
6,-0.6575011276,2.001888828,-2.431185086,-1.043354656,0.01042051953,-0.3121411191,-0.9262698542,-0.4104112321,0.3426386555,-1.137867991,-0.743007566
8,-0.7760151402,3.787882023,1.204954685,-1.02363678,-0.7677633187,-0.3709459655,-1.491059112,-1.614182414,0.9387236317,-0.8749734131,1.85757201
6,0.6461530116,0.6127830087,0.7091174433,-1.043354656,-0.5846612391,-1.076604122,0.7680979204,-0.7782302043,-0.4521413128,0.3518679504,0.6385503336
5,-0.4204731023,0.315117476,-1.604789684,0.21858945,-0.08113052025,-0.07692173354,-0.1261517384,0.492417154,0.2101753275,0.08897337253,-0.8242756777
8,-0.7760151402,3.787882023,1.204954685,-1.02363678,-0.7677633187,-0.3709459655,-1.491059112,-1.614182414,0.9387236317,-0.8749734131,1.85757201
7,-0.5389871149,0.315117476,0.3785592823,-0.6884328765,-0.3557836396,-0.9589944295,-0.855671197,-0.9454206462,-0.1209829927,-1.225499517,0.3947459984
8,-0.0649310643,-0.180991745,0.7091174433,-0.9250473965,0.1477470792,0.3347121913,-0.3850134818,-0.3435350554,1.865966928,-0.08628967941,-0.01159456033
5,0.8831810369,3.887103868,-1.604789684,-0.9644831498,1.292135077,-0.6061653511,0.6974992631,-0.1094684368,-0.9157629609,0.1766048985,-0.9868119012
6,-0.3019590896,-0.08176990081,0.6264779031,-1.003918903,0.2850736389,-1.135408969,0.08564423338,0.3586648005,1.534808608,-0.1739212054,-0.417935119
6,0.172096961,-0.2802135892,-0.1172779592,0.5143575999,0.01042051953,1.216784887,2.509531467,0.492417154,0.4088703195,0.08897337253,-0.09286267207
6,0.05358294835,-0.3794354334,0.1306406615,-1.063072533,0.2850736389,-0.01811688714,0.1797757764,-0.3435350554,1.7335036,-0.4368157833,-0.417935119
6,0.172096961,0.0174519434,0.4611988226,0.4552039699,0.239298119,-0.1945314263,0.06211134762,0.6930456842,1.269881952,0.3518679504,-0.01159456033
6,0.6461530116,-0.08176990081,1.204954685,-1.043354656,0.05619603943,-1.076604122,-0.1496846242,-0.8785444694,0.01148033539,0.001341846559,0.8823546688
7,0.4091249863,0.4143393202,0.2132802018,-0.8658937665,-0.5846612391,0.09949280566,-0.5732765679,-1.146049176,-0.5846046408,1.929235418,1.451231451
6,1.949807151,-0.3794354334,0.4611988226,0.7904078732,-0.08113052025,-0.9001895831,0.08564423338,1.127740833,0.07771199942,0.3518679504,-0.417935119
6,1.712779125,-1.371653876,0.04800112128,-1.043354656,-0.17268156,-1.664652586,-2.149979914,-0.2097827019,1.865966928,-0.7873418871,-0.2553988956
6,0.6461530116,-0.2802135892,0.2132802018,-0.8560348281,0.1935225991,-0.2533362727,-0.9027369685,-0.6779159392,0.01148033539,-0.4368157833,0.2322097749
6,-0.7760151402,-1.570097564,0.04800112128,-0.9644831498,-0.03535500036,0.4523218841,-0.5026779106,-0.04259226002,1.534808608,0.1766048985,-1.230616236
5,-1.250071191,-0.08176990081,-1.108952442,1.687571261,-0.08113052025,-0.7825798903,0.9563610064,0.7264837726,1.203650288,-1.050236465,-0.2553988956
5,0.527638999,0.0174519434,0.7917569836,-0.9250473965,1.566788196,-0.8413847367,-0.361480596,-1.179487265,0.01148033539,-0.6120788352,1.85757201
5,-0.4204731023,1.10889223,-0.8610338215,-0.1954859599,0.239298119,-0.6061653511,0.2503744337,-0.2097827019,0.3426386555,-1.225499517,-0.417935119
6,0.172096961,0.5135611645,-0.1172779592,-1.02363678,0.3308491588,0.1582976521,-0.008487309656,-1.146049176,-0.3859096488,-1.838920199,0.5572822219
5,0.527638999,-0.3794354334,0.4611988226,2.279107561,0.5139512384,0.5699315769,0.2503744337,1.963693043,0.1439436634,-1.137867991,-1.555688683
5,0.527638999,-0.3794354334,0.4611988226,2.279107561,0.5139512384,0.5699315769,0.2503744337,1.963693043,0.1439436634,-1.137867991,-1.555688683
6,-0.183445077,-0.4786572777,0.4611988226,-0.7673043832,5.778136026,1.628418812,0.4621704055,-0.1094684368,-0.5183729768,-1.137867991,-0.9055437895
6,-0.183445077,-0.3794354334,0.4611988226,-0.6884328765,5.823911546,1.628418812,0.4386375198,-0.1094684368,-0.5846046408,-1.313131043,-0.9055437895
6,0.172096961,0.315117476,-0.6131152008,0.1988715733,1.063257477,-0.4297508119,0.509236177,0.4589790656,-0.3859096488,-0.2615527313,-0.5804713425
6,-0.3019590896,-0.3794354334,-0.5304756605,-0.9842010265,0.5139512384,-0.1357265799,0.320973091,-0.2097827019,0.2101753275,0.6147625283,-0.8242756777
6,-0.183445077,-0.4786572777,-0.6131152008,-0.9842010265,0.651277798,-0.1357265799,0.3680388625,-0.2097827019,0.3426386555,0.6147625283,-0.8242756777
7,0.6461530116,-0.9747664987,-0.1999174995,-0.9842010265,0.5597267583,0.1582976521,0.6739663773,-0.310096967,-0.1872146567,0.3518679504,-0.417935119
4,-0.7760151402,1.704223295,-0.6131152008,-0.3926647266,0.7886043577,1.628418812,1.591748922,-0.00915417164,0.5413336476,0.2642364245,-0.5804713425
5,-0.7760151402,1.803445139,-0.695754741,-0.3926647266,0.9259309174,1.569613966,1.615281808,-0.04259226002,0.4088703195,0.2642364245,-0.5804713425
6,0.172096961,0.315117476,-0.6131152008,0.1988715733,1.063257477,-0.4297508119,0.509236177,0.4589790656,-0.3859096488,-0.2615527313,-0.5804713425
5,0.05358294835,-0.8755446545,0.1306406615,-0.2743574666,0.9717064373,-0.1945314263,0.2739073194,0.3252267121,1.137418624,-0.08628967941,-0.5804713425
6,0.4091249863,-0.8755446545,-0.1999174995,-0.9447652731,0.7428288378,-0.2533362727,0.8151636919,-0.7782302043,1.07118696,-0.4368157833,0.9636227806
7,-0.3019590896,-0.2802135892,-0.36519658,-1.043354656,1.017481957,0.2171024985,-0.3379477103,-0.8785444694,1.004955296,0.7900255803,0.3947459984
7,-0.7760151402,-1.173210187,-0.03463841898,-1.043354656,0.5139512384,-0.8413847367,-1.326328912,-1.012296823,0.8724919677,-0.2615527313,0.3134778866
6,-0.5389871149,-0.9747664987,0.1306406615,-1.063072533,-0.03535500036,0.2171024985,-0.7144738824,-0.9788587345,0.8062603037,-1.225499517,0.3134778866
6,-0.0649310643,-0.7763228103,2.113989628,-1.08279041,4.633748029,0.1582976521,-0.1496846242,-0.3435350554,-0.9157629609,-0.9626049391,-1.149348125
6,0.05358294835,-0.2802135892,0.1306406615,-1.003918903,-0.3100081197,-0.3709459655,1.238755636,-1.079173,-0.3859096488,0.2642364245,0.3947459984
6,0.4091249863,-0.6771009661,0.04800112128,1.086176023,-0.1269060401,0.09949280566,1.756479122,0.7264837726,-0.6508363048,0.08897337253,-0.743007566
6,-1.013043166,-0.8755446545,-0.6131152008,1.184765406,0.1019715593,0.8639558089,0.2033086622,1.060864656,0.7400286397,-1.137867991,-1.311884348
6,-0.3019590896,1.009670386,-1.522150144,-0.3532289732,-0.08113052025,-0.6061653511,-1.420460455,-0.310096967,-0.5183729768,-0.9626049391,-0.2553988956
6,0.6461530116,-0.7763228103,0.2132802018,-1.02363678,-0.3557836396,0.5111267305,-0.6438752251,-0.4772874089,1.137418624,-1.313131043,-0.4992032308
6,-0.0649310643,-0.5778791219,-0.7783942813,-0.2940753433,2.116094435,-0.3121411191,-0.361480596,0.3586648005,-1.048226289,-0.2615527313,-1.555688683
6,-1.013043166,-0.8755446545,-0.6131152008,1.184765406,0.1019715593,0.8639558089,0.2033086622,1.060864656,0.7400286397,-1.137867991,-1.311884348
5,0.172096961,1.902666983,-2.183266466,-1.043354656,-0.4931101993,-1.076604122,0.2974402052,-1.012296823,-1.114457953,-1.313131043,-0.01159456033
6,-0.3019590896,1.009670386,-1.522150144,-0.3532289732,-0.08113052025,-0.6061653511,-1.420460455,-0.310096967,-0.5183729768,-0.9626049391,-0.2553988956
6,0.4091249863,-0.3794354334,-0.5304756605,-0.9842010265,-0.3557836396,-0.2533362727,-0.3850134818,-0.4438493205,-0.2534463207,-0.2615527313,-0.1741307838
5,-0.7760151402,0.7120048529,-2.513824627,-1.02363678,0.8343798776,-0.3709459655,-0.4320792533,-0.2097827019,0.2101753275,0.4394994764,-1.149348125
7,-0.5389871149,-0.180991745,-0.7783942813,0.001692806684,-0.2642325998,-0.4885556583,-0.3379477103,-1.246363442,0.2101753275,0.001341846559,1.695035786
5,-0.183445077,-0.2802135892,-1.687429224,-1.02363678,-0.2184570799,2.686906047,0.8386965777,-0.6779159392,-0.3196779847,-0.6120788352,-0.5804713425
8,-0.183445077,-0.4786572777,-0.1999174995,-0.8461758898,0.01042051953,-0.3121411191,-0.9968685115,-0.4772874089,0.9387236317,1.315814736,0.1509416632
5,0.6461530116,-0.3794354334,-0.36519658,0.7312542432,0.1935225991,-0.8413847367,-0.7850725397,0.7264837726,-0.3859096488,-1.225499517,-0.8242756777
6,-0.7760151402,-0.08176990081,0.7917569836,0.27774308,0.4681757185,0.7463461161,2.485998581,0.5258552424,-0.5846046408,0.1766048985,-1.230616236
5,-0.0649310643,0.2158956318,-0.8610338215,-0.3532289732,0.6970533179,0.8933582321,2.356567709,0.5927314191,0.8724919677,0.9652886322,-0.8242756777
5,-1.013043166,-0.08176990081,-0.4478361203,-0.3137932199,0.7886043577,-0.2533362727,1.474084493,0.7933599494,3.323063537,1.929235418,-0.417935119
6,2.068321163,-0.4786572777,1.039675604,-1.063072533,0.3766246787,-1.547042894,-1.56165777,0.02428391674,-1.578079601,0.001341846559,-1.149348125
8,-0.183445077,-0.4786572777,-0.1999174995,-0.8461758898,0.01042051953,-0.3121411191,-0.9968685115,-0.4772874089,0.9387236317,1.315814736,0.1509416632
5,0.6461530116,-0.3794354334,-0.36519658,0.7312542432,0.1935225991,-0.8413847367,-0.7850725397,0.7264837726,-0.3859096488,-1.225499517,-0.8242756777
7,0.2906109737,-0.9747664987,0.2132802018,-0.9842010265,-0.1269060401,-0.2533362727,-1.208664483,-1.413553883,0.4751019836,-1.050236465,1.776303898
7,0.172096961,0.4143393202,0.04800112128,-1.003918903,-0.17268156,-0.9001895831,-1.632256427,-0.9454206462,0.8062603037,1.403446262,1.207427116
5,0.6461530116,-0.9747664987,-0.2825570397,0.4749218466,0.8343798776,-0.5473605047,-0.8321383112,0.6930456842,-1.644311265,0.6147625283,-0.9868119012
5,-0.183445077,2.597219893,-0.4478361203,-0.1954859599,0.651277798,-0.8413847367,-0.7850725397,0.2917886237,0.5413336476,-1.050236465,-1.230616236
6,-0.0649310643,-0.5778791219,-0.1999174995,-0.9842010265,0.3308491588,-0.07692173354,-0.5732765679,-0.3769731438,1.336113616,2.455024574,0.06967355141
6,0.2906109737,-0.7763228103,0.04800112128,1.894608966,0.1935225991,0.9227606553,0.6504334916,1.495559805,0.1439436634,0.9652886322,-1.068080013
5,0.2906109737,0.6127830087,-1.108952442,-0.0574608233,0.7886043577,0.6875412697,0.6033677201,0.1914743586,-0.1209829927,-0.6120788352,-0.417935119
6,0.527638999,-0.5778791219,-0.2825570397,0.3566145866,0.05619603943,0.3935170377,1.615281808,0.8602361261,0.9387236317,-0.2615527313,-0.8242756777
5,0.2906109737,1.505779607,2.279268708,1.066458146,-0.03535500036,1.099175194,0.3915717482,1.127740833,-0.5183729768,-0.3491842573,-1.474420572
6,0.2906109737,1.605001451,2.361908248,1.066458146,-0.08113052025,0.9815655017,0.320973091,1.161178922,-0.4521413128,-0.2615527313,-1.474420572
6,0.4091249863,1.10889223,2.444547789,0.9087151332,-0.08113052025,1.157980041,0.415104634,1.127740833,-0.6508363048,-0.4368157833,-1.474420572
6,-0.0649310643,-0.2802135892,-0.1999174995,1.362226296,0.1935225991,1.98124789,1.497617379,1.060864656,0.2101753275,-0.08628967941,-0.6617394543
5,0.2906109737,1.505779607,2.279268708,1.066458146,-0.03535500036,1.099175194,0.3915717482,1.127740833,-0.5183729768,-0.3491842573,-1.474420572
6,0.2906109737,1.605001451,2.361908248,1.066458146,-0.08113052025,0.9815655017,0.320973091,1.161178922,-0.4521413128,-0.2615527313,-1.474420572
6,0.4091249863,1.10889223,2.444547789,0.9087151332,-0.08113052025,1.157980041,0.415104634,1.127740833,-0.6508363048,-0.4368157833,-1.474420572
5,-0.8945291529,-0.08176990081,0.7917569836,0.21858945,0.1477470792,1.746028505,2.462465695,0.5592933307,-0.4521413128,-0.1739212054,-1.230616236
7,0.05358294835,-0.3794354334,-0.03463841898,-0.9250473965,-0.4931101993,0.6875412697,-0.05555308117,-1.346677707,0.4751019836,-0.7873418871,1.695035786
7,0.05358294835,-0.6771009661,-0.03463841898,-0.9053295198,-0.5388857192,0.7463461161,-0.05555308117,-1.380115795,0.4088703195,-0.6997103612,1.695035786
7,0.7646670243,-1.073988343,-0.1172779592,-0.9250473965,-0.2642325998,0.9227606553,0.2268415479,-0.8116682927,0.1439436634,-0.4368157833,0.8010865571
6,0.2906109737,-0.180991745,-0.36519658,1.184765406,-0.08113052025,1.569613966,2.391867038,0.9605503913,-0.981994625,-0.6120788352,-1.068080013
6,-1.013043166,0.6127830087,2.692466409,1.87489109,0.01042051953,-0.5473605047,0.6033677201,1.294931275,-0.3196779847,0.08897337253,-1.39315246
7,2.068321163,-0.1313808229,0.2132802018,-1.02363678,-0.5388857192,-1.194213815,-1.373394684,-0.9119825578,-1.578079601,-1.137867991,0.7198184453
4,3.490489315,0.8112266971,1.039675604,0.8101257499,-0.3557836396,-1.841067126,-1.302796026,0.5258552424,-1.975469585,-1.663657147,-0.3366670073
6,-1.013043166,0.6127830087,2.692466409,1.87489109,0.01042051953,-0.5473605047,0.6033677201,1.294931275,-0.3196779847,0.08897337253,-1.39315246
5,0.6461530116,-0.2802135892,0.295919742,1.40166205,0.651277798,0.9815655017,1.262288521,1.161178922,-1.246921281,-0.4368157833,-1.149348125
5,0.2906109737,-1.570097564,-0.1172779592,0.6326648599,0.3766246787,1.687223658,0.5563019486,0.7264837726,1.40234528,-0.6997103612,-0.9055437895
5,-1.013043166,-0.6771009661,-0.7783942813,1.125611776,0.1935225991,1.157980041,0.6033677201,0.9939884796,1.004955296,-0.8749734131,-0.9055437895
5,0.7646670243,0.2655065539,0.5438383628,2.46642739,0.6055022782,0.5111267305,0.7445650346,1.997131131,-1.313152945,-0.2615527313,-1.230616236
5,0.6461530116,-0.2802135892,0.295919742,1.40166205,0.651277798,0.9815655017,1.262288521,1.161178922,-1.246921281,-0.4368157833,-1.149348125
6,0.527638999,-1.47087572,-0.1172779592,1.57912294,0.239298119,-0.07692173354,-0.6909409967,1.127740833,0.07771199942,-1.225499517,-1.068080013
5,0.2906109737,-1.570097564,-0.1172779592,0.6326648599,0.3766246787,1.687223658,0.5563019486,0.7264837726,1.40234528,-0.6997103612,-0.9055437895
6,0.2906109737,-0.4786572777,0.1306406615,1.99319835,-0.2642325998,1.452004273,0.7680979204,1.662750247,-0.1872146567,0.8776571062,-1.149348125
6,0.2906109737,-0.4786572777,0.1306406615,1.99319835,-0.2642325998,1.452004273,0.7680979204,1.662750247,-0.1872146567,0.8776571062,-1.149348125
5,0.05358294835,0.5135611645,-0.4478361203,-1.003918903,0.239298119,0.09949280566,1.144624093,-0.4438493205,0.5413336476,0.9652886322,-0.1741307838
6,-0.4204731023,-1.073988343,1.700791926,0.4157682166,1.658339236,1.687223658,0.5798348343,0.6261695075,-1.975469585,-0.8749734131,-1.39315246
5,0.4091249863,-0.08176990081,1.039675604,2.436850575,0.2850736389,0.5699315769,2.744860324,1.997131131,-0.981994625,0.2642364245,-1.311884348
5,0.4091249863,0.315117476,1.370233765,1.362226296,0.4681757185,1.922443044,1.332887179,1.39524554,-1.180689617,-0.1739212054,-1.068080013
5,-0.183445077,1.307335918,0.04800112128,0.5537933532,0.1477470792,-0.3709459655,0.2739073194,0.9271123029,0.2101753275,0.1766048985,-1.149348125
5,-0.183445077,1.307335918,0.04800112128,0.5537933532,0.1477470792,-0.3709459655,0.2739073194,0.9271123029,0.2101753275,0.1766048985,-1.149348125
4,-1.605613229,2.05149975,-2.761743247,-0.9644831498,0.8801553975,-1.60584774,-0.8321383112,-0.00915417164,2.925673552,-0.7873418871,-0.6617394543
6,-1.013043166,0.315117476,-0.7783942813,-0.6095613699,-0.2184570799,-0.6061653511,0.1091771191,-0.8785444694,0.8062603037,-0.4368157833,0.6385503336
6,0.172096961,-1.371653876,0.5438383628,-0.9250473965,-0.4931101993,-1.135408969,-1.255730255,-0.9788587345,0.01148033539,-0.6120788352,1.044890892
5,0.4091249863,0.315117476,1.370233765,1.362226296,0.4681757185,1.922443044,1.332887179,1.39524554,-1.180689617,-0.1739212054,-1.068080013
5,0.527638999,0.4143393202,1.204954685,1.362226296,0.651277798,1.275589734,1.356420064,1.39524554,-0.981994625,0.08897337253,-1.068080013
5,-1.131557178,0.8112266971,-2.431185086,-0.13633233,0.01042051953,-0.8413847367,-1.208664483,-0.2097827019,0.2101753275,0.1766048985,-0.2553988956
5,1.120209062,-0.3794354334,-0.1172779592,1.145329653,0.3766246787,0.3935170377,-0.008487309656,1.462121717,-1.180689617,0.4394994764,-1.39315246
5,0.6461530116,-1.173210187,-0.1999174995,0.09042325167,0.6055022782,-0.2533362727,-0.17321751,0.3921028889,0.6737969756,-1.313131043,-0.6617394543
6,0.05358294835,-0.8755446545,-0.4478361203,-0.2743574666,0.5597267583,-1.253018662,0.1797757764,0.3921028889,0.6737969756,-1.137867991,-1.149348125
6,-0.5389871149,-1.47087572,1.122315145,-0.9447652731,2.116094435,0.2759073449,0.4621704055,-0.4104112321,0.1439436634,-1.137867991,-0.5804713425
6,-0.183445077,-0.8755446545,0.2132802018,-1.043354656,-0.9050898783,1.628418812,0.1091771191,-0.9454206462,0.5413336476,-0.08628967941,0.3947459984
5,0.6461530116,1.10889223,-0.8610338215,0.1200000667,-0.5846612391,-0.3709459655,-0.2908819388,-0.00915417164,-0.3196779847,-0.6120788352,-0.01159456033
7,-0.4204731023,-0.3794354334,-0.1172779592,0.2383073266,-0.3557836396,0.7463461161,1.521150265,0.5927314191,1.7335036,0.4394994764,-0.6617394543
7,-0.8945291529,0.2158956318,1.866071007,-0.7081507532,-0.08113052025,0.6875412697,0.9563610064,-0.5441635856,0.7400286397,0.7023940543,0.3134778866
6,-0.8945291529,0.2158956318,1.866071007,-0.7278686298,0.01042051953,0.6287364233,1.074025435,-0.5441635856,0.8062603037,0.7023940543,0.3134778866
5,-1.368585203,-0.180991745,-0.695754741,0.7904078732,-1.179742998,-1.664652586,-1.914651056,-0.00915417164,1.336113616,-1.050236465,0.06967355141
7,-0.4204731023,-0.3794354334,-0.1172779592,0.2383073266,-0.3557836396,0.7463461161,1.521150265,0.5927314191,1.7335036,0.4394994764,-0.6617394543
5,-0.4204731023,1.456168684,0.5438383628,1.322790543,-0.3557836396,1.393199426,2.415399923,1.294931275,0.2764069915,0.7023940543,-1.230616236
5,-0.3019590896,-0.3794354334,-0.5304756605,1.855173213,-0.4931101993,0.6287364233,1.168156978,1.39524554,0.3426386555,0.1766048985,-1.068080013
5,-0.0649310643,-0.08176990081,-0.9436733618,0.33689671,-0.5388857192,1.157980041,1.521150265,0.6930456842,0.01148033539,0.2642364245,-1.311884348
5,-0.183445077,-0.08176990081,-0.1999174995,1.835455336,-0.4473346794,0.5111267305,0.9563610064,1.294931275,0.4751019836,0.6147625283,-0.743007566
6,1.594265113,-0.4786572777,0.5438383628,-1.02363678,-0.8593143584,0.04068795926,-0.4085463676,-0.6779159392,-0.4521413128,-0.9626049391,0.1509416632
5,0.2906109737,0.9104485413,2.77510595,0.8101257499,-0.03535500036,0.8051509625,0.3915717482,1.161178922,-0.1872146567,-0.4368157833,-1.474420572
7,-0.0649310643,-0.8755446545,0.2132802018,-0.8856116431,-0.4931101993,-0.3121411191,-0.9968685115,-0.7782302043,-0.2534463207,0.4394994764,0.2322097749
6,1.4757511,0.0174519434,0.4611988226,-0.8856116431,-0.7677633187,-1.017799276,-1.396927569,-0.577601674,0.2764069915,0.2642364245,1.044890892
5,-0.6575011276,0.315117476,0.04800112128,-0.8264580132,-0.03535500036,-0.9001895831,-1.443993341,-0.4438493205,0.7400286397,-0.5244473092,-0.2553988956
5,0.2906109737,0.9104485413,2.77510595,0.8101257499,-0.03535500036,0.8051509625,0.3915717482,1.161178922,-0.1872146567,-0.4368157833,-1.474420572
6,1.238723075,-0.6771009661,0.5438383628,-1.02363678,-0.3100081197,0.1582976521,-0.7380067682,-0.6779159392,0.1439436634,0.4394994764,0.2322097749
6,1.949807151,-0.6771009661,0.6264779031,-0.4123826032,-0.4473346794,-0.6649701975,-0.9262698542,0.224912447,-0.05475132863,0.3518679504,-0.6617394543
6,1.4757511,-0.7763228103,0.5438383628,-0.8658937665,-0.4015591595,-0.9589944295,-1.208664483,-0.6444778508,-0.4521413128,0.4394994764,0.5572822219
6,-0.6575011276,-0.2306026671,0.295919742,-1.043354656,-0.2642325998,0.09949280566,-0.5732765679,-1.179487265,-1.246921281,-0.8749734131,0.3134778866
6,-1.487099216,-1.173210187,-0.5304756605,-0.9842010265,-0.08113052025,1.040370348,0.6974992631,-0.7447921159,0.6075653116,-1.050236465,-0.3366670073
4,-0.5389871149,3.142940036,-1.604789684,-0.2349217133,0.5597267583,-1.194213815,-0.9733356258,0.3586648005,1.269881952,-1.137867991,-1.230616236
7,-0.6575011276,0.6127830087,-0.03463841898,-0.3532289732,-0.5388857192,-0.9589944295,-1.373394684,-0.7782302043,1.269881952,0.7900255803,1.207427116
6,0.05358294835,-0.2802135892,-0.2825570397,-0.4518183566,0.3766246787,-0.7237750439,-0.5262107963,-0.00915417164,-1.313152945,-0.9626049391,-0.9055437895
7,1.238723075,-0.5778791219,0.3785592823,0.3171788333,-0.1269060401,0.6287364233,0.320973091,-0.2097827019,-0.4521413128,-1.488394095,0.8010865571
6,0.8831810369,-0.9747664987,1.039675604,0.7509721199,0.4224001986,1.33439458,-0.07908596693,0.9271123029,-0.3196779847,-0.5244473092,-0.4992032308
6,0.05358294835,-0.2802135892,-0.2825570397,-0.4518183566,0.3766246787,-0.7237750439,-0.5262107963,-0.00915417164,-1.313152945,-0.9626049391,-0.9055437895
5,0.4091249863,-0.9747664987,0.6264779031,-1.02363678,0.1019715593,0.3347121913,-0.9733356258,-0.7113540275,-0.3196779847,-0.3491842573,-0.09286267207
6,1.594265113,-0.4786572777,0.5438383628,0.21858945,0.1477470792,-1.370628354,-1.467526227,0.8602361261,-0.8495312969,3.068445255,-0.6617394543
6,0.6461530116,-0.3794354334,0.7091174433,1.500251433,0.9259309174,0.7463461161,1.403485836,1.294931275,-1.975469585,-0.6120788352,-1.311884348
6,0.6461530116,-0.3794354334,0.7091174433,1.500251433,0.9259309174,0.7463461161,1.403485836,1.294931275,-1.975469585,-0.6120788352,-1.311884348
7,-0.8945291529,0.4143393202,-0.7783942813,-0.9644831498,-0.4473346794,0.1582976521,-0.3379477103,-1.413553883,0.6737969756,-0.6120788352,1.532499563
8,-1.961155267,1.605001451,-2.431185086,-0.9842010265,-0.4473346794,0.4523218841,-0.4556121391,-1.547306237,1.137418624,-1.400762569,1.288695228
8,-1.961155267,1.605001451,-2.431185086,-0.9842010265,-0.4473346794,0.4523218841,-0.4556121391,-1.547306237,1.137418624,-1.400762569,1.288695228
7,-0.8945291529,0.4143393202,-0.7783942813,-0.9644831498,-0.4473346794,0.1582976521,-0.3379477103,-1.413553883,0.6737969756,-0.6120788352,1.532499563
5,-0.5389871149,-0.5778791219,1.866071007,1.598840816,0.4224001986,-0.4885556583,0.4857032913,1.328369363,-1.379384609,-0.7873418871,-1.149348125
5,-0.6575011276,0.8112266971,-0.2825570397,-0.3137932199,0.1477470792,-1.253018662,-1.255730255,-0.2766588786,0.6075653116,-0.8749734131,0.06967355141
6,0.6461530116,-0.3794354334,0.7091174433,1.500251433,0.9259309174,0.7463461161,1.403485836,1.294931275,-1.975469585,-0.6120788352,-1.311884348
5,-0.183445077,-0.3794354334,0.1306406615,1.322790543,0.1935225991,1.687223658,1.568216036,0.9939884796,-0.2534463207,0.08897337253,-0.8242756777
5,0.172096961,-0.4786572777,0.2132802018,1.303072666,0.239298119,2.15766243,0.9092952349,1.060864656,-0.1872146567,0.001341846559,-0.5804713425
6,1.831293138,-0.08176990081,1.039675604,0.4552039699,0.1019715593,0.2171024985,1.37995295,1.127740833,-0.3196779847,0.8776571062,-0.743007566
7,-0.183445077,1.803445139,-1.274231523,-0.7870222598,-0.5388857192,-0.6061653511,-0.94980274,-1.48043006,-0.7170679689,-0.4368157833,1.695035786
5,0.7646670243,0.1166737876,-0.1999174995,0.5044986616,0.4224001986,-0.9001895831,0.2974402052,0.9271123029,-0.7170679689,0.4394994764,-0.9868119012
5,3.490489315,1.406557762,1.204954685,0.6819595515,-0.5388857192,-1.782262279,-0.6674081109,0.5927314191,-2.107932913,-1.751288673,-0.417935119
